,Region,Year,CropType,Production_Tonnes,Area_Hectares,Yield_Tonnes_per_Hectare
0,Lviv Oblast,2021,Barley,14910.0,5240.0,2.83268902184886
1,Poltava Oblast,2021,Soybean,14622.0,2752.0,2.8768168604651163
2,Dnipropetrovsk Oblast,2018,Soybean,16581.0,6502.0,2.550138418948016
3,Vinnytsia Oblast,2019,Sunflower,18710.0,6053.0,3.091029241698332
4,Kyiv Oblast,2019,Soybean,16217.0,4317.0,3.7565438962242297
5,Vinnytsia Oblast,2022,Wheat,14622.0,5015.0,3.662598870056497
6,Odesa Oblast,2020,Rye,11800.0,2931.0,4.0259297168201975
7,Cherkasy Oblast,2020,Rye,16034.0,4933.0,3.2503547536995745
8,Poltava Oblast,2022,Rye,14622.0,2721.0,7.500918779860346
9,Kyiv Oblast,2022,Barley,9339.0,3268.0,2.857711138310893
10,Poltava Oblast,2022,Corn,9165.0,3283.0,2.791653975022845
11,Vinnytsia Oblast,2022,Barley,14937.0,5015.0,3.8567002323780017
12,Poltava Oblast,2022,Rye,23019.0,5015.0,3.76066002287208
13,Lviv Oblast,2020,Soybean,4289.0,5763.0,0.7442304355370467
14,Cherkasy Oblast,2020,Sunflower,14622.0,8266.0,1.556254536656182
15,Dnipropetrovsk Oblast,2018,Rye,18179.0,5797.0,3.135932378816629
16,Lviv Oblast,2018,Soybean,14831.0,5796.0,2.558833678398896
17,Dnipropetrovsk Oblast,2018,Corn,16990.0,6464.0,2.6284034653465347
18,Dnipropetrovsk Oblast,2018,Potatoes,13965.0,3003.0,4.65034965034965
19,Odesa Oblast,2020,Soybean,12947.0,3198.0,2.83268902184886
20,Poltava Oblast,2021,Corn,9360.0,5211.0,1.7962003454231434
21,Kharkiv Oblast,2020,Wheat,16157.0,4680.0,2.83268902184886
22,Odesa Oblast,2019,Rye,22474.0,5859.0,3.835808158388804
23,Kharkiv Oblast,2022,Sunflower,14185.0,4486.0,3.1620597414177443
24,Kharkiv Oblast,2021,Potatoes,14622.0,3015.0,3.205970149253732
25,Odesa Oblast,2018,Potatoes,14622.0,5811.0,2.467217346411977
26,Kharkiv Oblast,2018,Sunflower,13145.0,5117.0,2.5688880203244087
27,Cherkasy Oblast,2021,Rye,16288.0,4263.0,3.820783485808117
28,Odesa Oblast,2019,Corn,10675.0,3220.0,3.315217391304348
29,Odesa Oblast,2018,Corn,15002.0,7438.0,2.016940037644528
30,Kyiv Oblast,2018,Wheat,7846.0,5450.0,1.439633027522936
31,Odesa Oblast,2018,Wheat,14622.0,4449.0,1.540795684423466
32,Zhytomyr Oblast,2020,Potatoes,19840.0,3134.0,6.330567964262923
33,Odesa Oblast,2019,Wheat,16434.0,4476.0,2.83268902184886
34,Lviv Oblast,2022,Sunflower,20598.0,5827.0,3.534923631371203
35,Odesa Oblast,2021,Soybean,20852.0,5958.0,3.4998321584424303
36,Dnipropetrovsk Oblast,2019,Soybean,16936.0,6411.0,2.641709561690844
37,Poltava Oblast,2020,Barley,14622.0,5984.0,1.7496657754010696
38,Lviv Oblast,2021,Soybean,14372.0,4514.0,3.183872396987151
39,Zhytomyr Oblast,2020,Rye,20881.0,4206.0,4.964574417498811
40,Poltava Oblast,2018,Wheat,11955.0,6000.0,1.9925
41,Kharkiv Oblast,2018,Corn,19180.0,8479.0,2.2620592050949404
42,Vinnytsia Oblast,2018,Barley,16459.0,4866.0,3.3824496506370734
43,Zhytomyr Oblast,2019,Wheat,4504.0,5015.0,0.923139987702398
44,Cherkasy Oblast,2022,Rye,10896.0,6362.0,1.712668972021377
45,Dnipropetrovsk Oblast,2021,Rye,22286.0,6258.0,3.561201661872803
46,Vinnytsia Oblast,2020,Wheat,14622.0,4982.0,4.6063829787234045
47,Zhytomyr Oblast,2020,Barley,12311.0,3342.0,3.683722321962896
48,Kyiv Oblast,2018,Rye,17368.0,5015.0,3.0105737562835846
49,Vinnytsia Oblast,2022,Barley,11276.0,6348.0,1.7763074984247007
50,Zhytomyr Oblast,2018,Barley,14344.0,6321.0,2.2692611928492328
51,Poltava Oblast,2020,Potatoes,11881.0,4234.0,2.8060935285781765
52,Zhytomyr Oblast,2021,Wheat,10325.0,5020.0,2.056772908366534
53,Poltava Oblast,2021,Wheat,19410.0,4451.0,4.3608177937542125
54,Cherkasy Oblast,2021,Soybean,14622.0,6180.0,2.7325242718446603
55,Kharkiv Oblast,2021,Corn,15313.0,6947.0,2.83268902184886
56,Odesa Oblast,2022,Wheat,5186.0,6915.0,0.7499638467100506
57,Lviv Oblast,2021,Corn,12737.0,5143.0,2.476570095275131
58,Kyiv Oblast,2022,Potatoes,17767.0,4685.0,3.792315901814301
59,Kharkiv Oblast,2021,Soybean,18286.0,3215.0,5.687713841368585
60,Vinnytsia Oblast,2021,Rye,13324.0,7910.0,1.6844500632111252
61,Zhytomyr Oblast,2019,Potatoes,16365.0,4078.0,4.01299656694458
62,Dnipropetrovsk Oblast,2022,Potatoes,7479.0,948.0,7.889240506329114
63,Poltava Oblast,2020,Soybean,14622.0,5328.0,2.078641141141141
64,Kharkiv Oblast,2022,Potatoes,17888.0,5015.0,2.83268902184886
65,Kharkiv Oblast,2022,Soybean,20766.0,7618.0,2.72591231294303
66,Poltava Oblast,2021,Soybean,17665.0,5041.0,3.5042650267804007
67,Dnipropetrovsk Oblast,2019,Barley,17638.0,6431.0,2.7426527756181
68,Kyiv Oblast,2018,Barley,13907.0,3569.0,3.896609694592323
69,Poltava Oblast,2021,Potatoes,6780.0,5994.0,1.1311311311311312
70,Odesa Oblast,2018,Sunflower,16739.0,5083.0,3.293133975998426
71,Poltava Oblast,2022,Corn,10612.0,812.0,13.06896551724138
72,Odesa Oblast,2021,Rye,14622.0,3066.0,6.502283105022831
73,Odesa Oblast,2020,Sunflower,16435.0,6690.0,2.456651718983557
74,Vinnytsia Oblast,2021,Potatoes,10520.0,4628.0,2.273120138288677
75,Kyiv Oblast,2022,Sunflower,14292.0,3241.0,4.409750077136686
76,Zhytomyr Oblast,2019,Barley,27651.0,4926.0,5.613276492082826
77,Zhytomyr Oblast,2020,Barley,24142.0,6155.0,3.92233956133225
78,Vinnytsia Oblast,2021,Rye,14622.0,1817.0,11.115024766097964
79,Kharkiv Oblast,2018,Wheat,13552.0,2999.0,4.518839613204402
80,Poltava Oblast,2022,Wheat,20560.0,2719.0,7.56160353070982
81,Poltava Oblast,2019,Sunflower,13862.0,4449.0,3.115756349741515
82,Cherkasy Oblast,2018,Potatoes,14622.0,5430.0,2.0683241252302027
83,Vinnytsia Oblast,2020,Wheat,24481.0,6308.0,2.83268902184886
84,Cherkasy Oblast,2022,Rye,9566.0,6234.0,1.5344882900224577
85,Kharkiv Oblast,2020,Sunflower,19497.0,6941.0,2.808961244777409
86,Vinnytsia Oblast,2019,Sunflower,22114.0,7109.0,3.110704740469827
87,Zhytomyr Oblast,2020,Potatoes,14622.0,4471.0,2.4620890181167523
88,Vinnytsia Oblast,2021,Rye,20856.0,3333.0,6.257425742574258
89,Vinnytsia Oblast,2019,Soybean,19990.0,6824.0,2.92936694021102
90,Odesa Oblast,2021,Sunflower,22278.0,3609.0,2.83268902184886
91,Kyiv Oblast,2019,Sunflower,10643.0,4438.0,2.3981523208652544
92,Kharkiv Oblast,2022,Corn,9784.0,6113.0,1.600523474562408
93,Kyiv Oblast,2018,Soybean,14622.0,4898.0,2.4912209064924458
94,Poltava Oblast,2020,Barley,12204.0,4967.0,2.45701630763036
95,Poltava Oblast,2020,Potatoes,10738.0,5841.0,1.8383838383838385
96,Vinnytsia Oblast,2018,Rye,11349.0,4148.0,2.736017357762777
97,Zhytomyr Oblast,2021,Rye,17590.0,5318.0,3.307634449040993
98,Lviv Oblast,2020,Sunflower,17215.0,3980.0,4.325376884422111
99,Kyiv Oblast,2020,Soybean,10261.0,4522.0,2.2691287041132244
100,Poltava Oblast,2019,Soybean,27778.02,5397.0,1.8495460440985731
101,Zhytomyr Oblast,2021,Sunflower,24349.0,5704.0,4.268758765778401
102,Poltava Oblast,2019,Barley,9934.0,5553.0,1.7889429137403206
103,Vinnytsia Oblast,2021,Wheat,6676.0,4399.0,1.517617640372812
104,Kharkiv Oblast,2022,Corn,13467.0,5015.0,5.447815533980583
105,Odesa Oblast,2019,Barley,9212.0,5056.0,1.821993670886076
106,Zhytomyr Oblast,2020,Barley,9734.0,3915.0,2.4863346104725417
107,Lviv Oblast,2021,Potatoes,14622.0,3866.0,2.1063114330056907
108,Kyiv Oblast,2021,Barley,17598.0,5584.0,3.1515042979942693
109,Kyiv Oblast,2018,Corn,14622.0,4419.0,5.088028965829373
110,Dnipropetrovsk Oblast,2022,Sunflower,10835.0,5924.0,1.8290006752194463
111,Odesa Oblast,2022,Barley,10934.0,4367.0,2.503778337531486
112,Odesa Oblast,2021,Soybean,6766.0,4894.0,1.3825091949325703
113,Kyiv Oblast,2019,Barley,14622.0,4189.0,5.666507519694438
114,Poltava Oblast,2018,Potatoes,7822.0,1638.0,4.775335775335775
115,Poltava Oblast,2019,Potatoes,17808.0,5402.0,3.2965568308034063
116,Dnipropetrovsk Oblast,2019,Soybean,13562.0,4033.0,3.3627572526655096
117,Odesa Oblast,2021,Corn,8411.0,5075.0,1.6573399014778325
118,Cherkasy Oblast,2021,Barley,10789.0,5742.0,1.878962034134448
119,Kharkiv Oblast,2020,Soybean,9224.0,6502.0,1.4186404183328207
120,Kharkiv Oblast,2020,Wheat,10485.0,6759.0,1.5512649800266312
121,Cherkasy Oblast,2018,Potatoes,18055.0,6573.0,2.7468431462041685
122,Cherkasy Oblast,2019,Wheat,21402.0,1222.0,17.5139116202946
123,Kharkiv Oblast,2021,Soybean,9667.0,6451.0,1.4985273600992095
124,Poltava Oblast,2022,Corn,15509.0,1935.0,8.01498708010336
125,Kyiv Oblast,2018,Wheat,14622.0,5980.0,1.9852842809364548
126,Zhytomyr Oblast,2020,Potatoes,10161.0,7866.0,1.291762013729977
127,Lviv Oblast,2022,Potatoes,20319.0,5577.0,3.6433566433566433
128,Dnipropetrovsk Oblast,2021,Barley,7515.0,2284.0,3.290280210157618
129,Poltava Oblast,2022,Barley,14488.0,5015.0,1.8343884527728536
130,Cherkasy Oblast,2020,Potatoes,14622.0,2935.0,4.533219761499148
131,Lviv Oblast,2022,Potatoes,18579.0,4979.0,3.731472183169311
132,Kharkiv Oblast,2019,Barley,21542.0,5240.0,4.111068702290076
133,Lviv Oblast,2020,Corn,27778.02,5037.0,5.763946793726425
134,Kharkiv Oblast,2021,Wheat,14622.0,4124.0,2.920950533462657
135,Dnipropetrovsk Oblast,2022,Wheat,17519.0,2909.0,6.0223444482640085
136,Kyiv Oblast,2018,Potatoes,10344.0,7015.0,1.4745545260156807
137,Kharkiv Oblast,2022,Soybean,17042.0,3771.0,4.519225669583665
138,Lviv Oblast,2022,Sunflower,16650.0,5439.0,3.061224489795918
139,Kharkiv Oblast,2018,Potatoes,15788.0,5176.0,3.0502318392581143
140,Vinnytsia Oblast,2018,Corn,13140.0,6107.0,2.151629277877845
141,Vinnytsia Oblast,2019,Sunflower,18835.0,3963.0,4.752712591471108
142,Kyiv Oblast,2020,Barley,27320.0,3778.0,7.231339332980413
143,Vinnytsia Oblast,2019,Potatoes,2921.0,5254.0,0.5559573658165208
144,Dnipropetrovsk Oblast,2021,Potatoes,19328.0,6347.0,3.045218213329132
145,Lviv Oblast,2018,Soybean,17362.0,1789.0,9.704863051984349
146,Poltava Oblast,2021,Soybean,2007.0,4485.0,0.4474916387959866
147,Lviv Oblast,2018,Wheat,21806.0,4521.0,4.823269188232692
148,Kyiv Oblast,2019,Soybean,14622.0,4303.0,3.5291656983499884
149,Odesa Oblast,2018,Sunflower,6818.0,6397.0,1.0658120994216038
150,Kharkiv Oblast,2021,Barley,6413.0,6517.0,0.98404173699555
151,Poltava Oblast,2021,Wheat,21497.0,7063.0,2.83268902184886
152,Odesa Oblast,2020,Soybean,10008.0,5010.0,1.9976047904191616
153,Odesa Oblast,2020,Wheat,11895.0,2862.0,4.156184486373165
154,Vinnytsia Oblast,2018,Barley,5545.0,5001.0,1.1087782443511298
155,Cherkasy Oblast,2018,Corn,22372.0,3604.0,6.2075471698113205
156,Dnipropetrovsk Oblast,2022,Wheat,13685.0,5015.0,2.83268902184886
157,Cherkasy Oblast,2018,Potatoes,10171.0,4751.0,2.140812460534624
158,Lviv Oblast,2018,Rye,17927.0,7022.0,2.552976360011393
159,Kharkiv Oblast,2018,Corn,10033.0,5308.0,1.89016578749058
160,Kharkiv Oblast,2022,Soybean,17461.0,5015.0,4.379483320792576
161,Vinnytsia Oblast,2021,Wheat,8610.0,4406.0,1.9541534271448024
162,Cherkasy Oblast,2022,Potatoes,17897.0,4478.0,3.996650290308173
163,Cherkasy Oblast,2019,Soybean,12764.0,4991.0,2.557403325986776
164,Lviv Oblast,2022,Potatoes,9828.0,7614.0,1.2907801418439715
165,Poltava Oblast,2021,Soybean,17931.0,3379.0,5.306599585676236
166,Zhytomyr Oblast,2018,Barley,7263.0,4513.0,1.6093507644582317
167,Vinnytsia Oblast,2021,Wheat,9962.0,2580.0,3.8612403100775192
168,Vinnytsia Oblast,2020,Potatoes,8317.0,2610.0,3.186590038314176
169,Vinnytsia Oblast,2022,Soybean,9407.0,5015.0,1.2172619047619049
170,Odesa Oblast,2021,Potatoes,6461.0,6424.0,1.0057596513075966
171,Lviv Oblast,2019,Sunflower,14375.0,7183.0,2.0012529583739385
172,Kharkiv Oblast,2021,Sunflower,13573.0,7064.0,1.9214326160815405
173,Dnipropetrovsk Oblast,2020,Soybean,11876.0,5216.0,2.276840490797546
174,Odesa Oblast,2021,Potatoes,24708.0,5913.0,4.178589548452562
175,Kharkiv Oblast,2019,Soybean,14622.0,3844.0,3.3621227887617064
176,Poltava Oblast,2020,Soybean,18889.0,3882.0,4.865790829469345
177,Zhytomyr Oblast,2019,Barley,19809.0,3940.0,5.027664974619289
178,Lviv Oblast,2018,Barley,14622.0,6135.0,3.391361043194784
179,Zhytomyr Oblast,2022,Barley,21403.0,6631.0,3.2277182928668378
180,Lviv Oblast,2018,Corn,17418.0,3864.0,4.50776397515528
181,Dnipropetrovsk Oblast,2022,Wheat,9978.0,6619.0,1.5074784710681373
182,Kharkiv Oblast,2020,Soybean,14819.0,6096.0,2.430938320209974
183,Kyiv Oblast,2021,Soybean,19436.0,4753.0,4.089206816747318
184,Poltava Oblast,2018,Barley,12310.0,4462.0,2.7588525324966384
185,Vinnytsia Oblast,2021,Soybean,11336.0,2675.0,4.237757009345795
186,Dnipropetrovsk Oblast,2019,Sunflower,11106.0,4959.0,2.23956442831216
187,Cherkasy Oblast,2022,Rye,11599.0,7346.0,1.5789545330792267
188,Cherkasy Oblast,2019,Barley,12699.0,5374.0,2.363044287309267
189,Vinnytsia Oblast,2019,Wheat,14622.0,6652.0,1.8214070956103428
190,Cherkasy Oblast,2022,Wheat,18889.0,5638.0,3.350301525363604
191,Dnipropetrovsk Oblast,2019,Soybean,7901.0,3313.0,2.3848475701780862
192,Kyiv Oblast,2022,Potatoes,11908.0,6801.0,2.83268902184886
193,Zhytomyr Oblast,2020,Wheat,17108.0,6183.0,2.766941614103186
194,Dnipropetrovsk Oblast,2021,Potatoes,14622.0,3872.0,2.4733987603305785
195,Kharkiv Oblast,2021,Corn,16093.0,4571.0,3.5206738131699846
196,Lviv Oblast,2019,Corn,13344.0,3827.0,3.486804285340998
197,Poltava Oblast,2019,Rye,19973.0,4465.0,4.473236282194849
198,Cherkasy Oblast,2022,Soybean,15796.0,6894.0,2.2912677690745578
199,Vinnytsia Oblast,2019,Soybean,21753.0,4810.0,4.522453222453223
200,Lviv Oblast,2019,Barley,8744.0,4483.0,1.9504795895605624
201,Lviv Oblast,2022,Potatoes,11877.0,6563.0,1.809690690233125
202,Poltava Oblast,2021,Rye,14622.0,5260.0,2.83268902184886
203,Zhytomyr Oblast,2021,Potatoes,5217.0,4448.0,2.83268902184886
204,Lviv Oblast,2020,Potatoes,15867.0,4257.0,3.727272727272727
205,Kyiv Oblast,2019,Sunflower,6633.0,9862.0,0.6725816264449401
206,Lviv Oblast,2021,Sunflower,10038.0,5096.0,1.96978021978022
207,Poltava Oblast,2018,Soybean,16890.0,6491.0,2.602064396857187
208,Poltava Oblast,2022,Sunflower,16213.0,4442.0,3.64993246285457
209,Lviv Oblast,2018,Soybean,11226.0,4913.0,2.2849582739670264
210,Cherkasy Oblast,2019,Corn,19659.0,7705.0,2.5514600908500973
211,Vinnytsia Oblast,2021,Potatoes,11175.0,5692.0,1.963281799016163
212,Zhytomyr Oblast,2020,Barley,11086.0,4752.0,2.332912457912458
213,Cherkasy Oblast,2020,Sunflower,16252.0,4944.0,3.2872168284789645
214,Odesa Oblast,2018,Sunflower,14873.0,4067.0,3.656995328251783
215,Lviv Oblast,2021,Wheat,7321.0,7439.0,0.9841376529103374
216,Vinnytsia Oblast,2021,Rye,18028.0,3145.0,5.732273449920509
217,Lviv Oblast,2021,Sunflower,6451.0,4993.0,1.2920088123372722
218,Cherkasy Oblast,2022,Sunflower,14622.0,4213.0,2.0405886541656777
219,Zhytomyr Oblast,2020,Corn,10617.0,4328.0,2.4530961182994453
220,Lviv Oblast,2022,Corn,11578.0,3129.0,3.700223713646533
221,Cherkasy Oblast,2020,Sunflower,10792.0,4200.0,2.569523809523809
222,Odesa Oblast,2021,Rye,14622.0,4878.0,3.463714637146372
223,Dnipropetrovsk Oblast,2019,Sunflower,19260.0,3541.0,5.439141485456086
224,Lviv Oblast,2018,Barley,2828.0,5198.0,0.544055405925356
225,Poltava Oblast,2022,Rye,17301.0,5015.0,4.148920863309352
226,Dnipropetrovsk Oblast,2020,Potatoes,7652.0,6594.0,1.1604488929329693
227,Kyiv Oblast,2022,Rye,15241.0,2785.0,5.472531418312387
228,Kyiv Oblast,2021,Rye,10989.0,7534.0,1.4585877355986197
229,Kyiv Oblast,2021,Sunflower,6797.0,6118.0,1.1109839816933638
230,Dnipropetrovsk Oblast,2018,Soybean,18293.0,6001.0,3.0483252791201467
231,Dnipropetrovsk Oblast,2021,Wheat,14522.0,5238.0,2.7724322260404737
232,Kharkiv Oblast,2019,Sunflower,17740.0,3183.0,5.573358466855168
233,Lviv Oblast,2021,Soybean,14622.0,5886.0,1.18416581719334
234,Kyiv Oblast,2020,Sunflower,9869.0,4748.0,2.078559393428812
235,Odesa Oblast,2018,Rye,19300.0,4812.0,4.010806317539485
236,Lviv Oblast,2019,Corn,20258.0,3819.0,5.304529981670594
237,Vinnytsia Oblast,2020,Soybean,15319.0,3814.0,4.01651809124279
238,Odesa Oblast,2021,Corn,19877.0,5544.0,3.5853174603174605
239,Kyiv Oblast,2022,Corn,14622.0,3645.0,5.441700960219479
240,Zhytomyr Oblast,2018,Barley,23779.0,5315.0,4.473941674506115
241,Dnipropetrovsk Oblast,2022,Corn,14946.0,4225.0,3.537514792899408
242,Vinnytsia Oblast,2020,Rye,13378.0,6645.0,2.0132430398796086
243,Kharkiv Oblast,2022,Sunflower,19916.0,4663.0,2.83268902184886
244,Lviv Oblast,2019,Soybean,16728.0,6919.0,2.4176904176904177
245,Odesa Oblast,2022,Corn,13199.0,5877.0,2.245873745108048
246,Kyiv Oblast,2020,Soybean,12396.0,4917.0,2.5210494203782794
247,Lviv Oblast,2019,Rye,9473.0,6390.0,1.4824726134585289
248,Kyiv Oblast,2021,Sunflower,9111.0,6685.0,1.362902019446522
249,Kharkiv Oblast,2021,Sunflower,20673.0,3139.0,6.585855367951577
250,Cherkasy Oblast,2018,Barley,15471.0,6153.0,2.514383227693808
251,Lviv Oblast,2022,Corn,15343.0,4695.0,3.267944621938232
252,Odesa Oblast,2021,Soybean,16856.0,3975.0,4.240503144654088
253,Cherkasy Oblast,2020,Rye,21413.0,5015.0,3.773215859030837
254,Zhytomyr Oblast,2020,Sunflower,22740.0,5015.0,3.722376821083647
255,Odesa Oblast,2020,Barley,11746.0,5665.0,2.073433362753751
256,Lviv Oblast,2021,Corn,17482.0,6542.0,2.6722714766126567
257,Kharkiv Oblast,2020,Sunflower,14622.0,3249.0,2.498922745460141
258,Zhytomyr Oblast,2021,Rye,9499.0,5015.0,1.8152111599464933
259,Kharkiv Oblast,2021,Wheat,15987.0,2042.0,7.829089128305583
260,Zhytomyr Oblast,2019,Wheat,19619.0,1909.0,10.27710843373494
261,Poltava Oblast,2021,Barley,9360.0,4299.0,2.83268902184886
262,Poltava Oblast,2019,Potatoes,14508.0,4318.0,3.3598888374247338
263,Kyiv Oblast,2021,Corn,14632.0,7142.0,2.048725847101652
264,Dnipropetrovsk Oblast,2018,Rye,16907.0,3715.0,4.5510094212651415
265,Cherkasy Oblast,2021,Potatoes,10609.0,3424.0,3.098422897196261
266,Poltava Oblast,2021,Rye,19888.0,3996.0,4.976976976976977
267,Zhytomyr Oblast,2020,Barley,14990.0,2616.0,5.730122324159021
268,Dnipropetrovsk Oblast,2022,Wheat,15746.0,4942.0,3.1861594496155403
269,Poltava Oblast,2022,Sunflower,25269.0,4363.0,5.791657116662846
270,Kharkiv Oblast,2022,Wheat,6513.0,5636.0,1.1556068133427964
271,Cherkasy Oblast,2020,Corn,11591.0,4974.0,2.3303176517893043
272,Kharkiv Oblast,2019,Rye,14935.0,8062.0,1.8525179856115108
273,Odesa Oblast,2018,Rye,14622.0,5990.0,1.489482470784641
274,Kyiv Oblast,2020,Corn,20236.0,2513.0,8.052526860326303
275,Cherkasy Oblast,2019,Sunflower,19879.0,5696.0,3.48999297752809
276,Poltava Oblast,2018,Barley,11926.0,3262.0,3.656039239730227
277,Poltava Oblast,2021,Soybean,16830.0,2386.0,2.83268902184886
278,Kharkiv Oblast,2021,Soybean,15615.0,3427.0,4.556463379048731
279,Kyiv Oblast,2018,Potatoes,17226.0,4090.0,4.211735941320294
280,Dnipropetrovsk Oblast,2021,Barley,16901.0,4774.0,3.54021784666946
281,Cherkasy Oblast,2021,Sunflower,16446.0,3747.0,4.389111289031225
282,Cherkasy Oblast,2022,Barley,16169.0,6260.0,2.5829073482428115
283,Kharkiv Oblast,2021,Sunflower,8556.0,6175.0,1.385587044534413
284,Cherkasy Oblast,2019,Sunflower,21237.0,3898.0,5.448178553104156
285,Cherkasy Oblast,2022,Barley,14622.0,5015.0,3.3710182286871664
286,Vinnytsia Oblast,2019,Potatoes,12694.0,7791.0,1.629315877294314
287,Dnipropetrovsk Oblast,2022,Sunflower,16466.0,847.0,19.44037780401417
288,Zhytomyr Oblast,2018,Soybean,18462.0,6959.0,2.6529673803707428
289,Kharkiv Oblast,2020,Corn,26319.0,6116.0,4.303302812295618
290,Dnipropetrovsk Oblast,2022,Sunflower,16594.0,5015.0,3.251175548589342
291,Zhytomyr Oblast,2018,Rye,15117.0,5384.0,2.8077637444279344
292,Cherkasy Oblast,2022,Rye,12983.0,5015.0,5.135680379746836
293,Vinnytsia Oblast,2018,Soybean,14352.0,7207.0,1.9913972526710144
294,Kharkiv Oblast,2019,Wheat,17237.0,5015.0,3.152917505030181
295,Zhytomyr Oblast,2018,Rye,22913.0,3045.0,7.5247947454844
296,Cherkasy Oblast,2022,Corn,14622.0,5884.0,1.8628484024473144
297,Dnipropetrovsk Oblast,2022,Sunflower,11252.0,4689.0,2.399658775858392
298,Odesa Oblast,2022,Barley,13279.0,4138.0,3.209038182696955
299,Dnipropetrovsk Oblast,2022,Corn,14622.0,5493.0,0.8767522301110504
300,Odesa Oblast,2022,Soybean,17429.0,5955.0,2.926784214945424
301,Zhytomyr Oblast,2020,Corn,14217.0,6666.0,2.132763276327633
302,Kharkiv Oblast,2018,Corn,7851.0,3919.0,2.00331717274815
303,Odesa Oblast,2019,Barley,18772.0,4730.0,3.9687103594080337
304,Kyiv Oblast,2020,Soybean,12893.0,3367.0,3.829224829224829
305,Odesa Oblast,2019,Soybean,21067.0,7079.0,2.975985308659415
306,Kharkiv Oblast,2021,Sunflower,4551.0,4591.0,0.9912873012415596
307,Dnipropetrovsk Oblast,2022,Barley,14622.0,7103.0,1.3708292270871465
308,Dnipropetrovsk Oblast,2019,Soybean,11418.0,7462.0,1.530152774055213
309,Kyiv Oblast,2022,Potatoes,14622.0,5662.0,3.4090427410808903
310,Odesa Oblast,2022,Corn,13620.0,3525.0,3.8638297872340415
311,Cherkasy Oblast,2019,Potatoes,19836.0,5266.0,3.766805924800608
312,Cherkasy Oblast,2022,Corn,17465.0,8264.0,2.1133833494675702
313,Odesa Oblast,2019,Rye,18035.0,5474.0,3.294665692363902
314,Lviv Oblast,2020,Wheat,13022.0,3859.0,2.83268902184886
315,Dnipropetrovsk Oblast,2020,Rye,20310.0,7405.0,2.7427413909520597
316,Odesa Oblast,2020,Barley,16775.0,6703.0,2.83268902184886
317,Zhytomyr Oblast,2019,Potatoes,17293.0,4581.0,3.774939969438987
318,Kyiv Oblast,2018,Rye,9846.0,5015.0,2.1687224669603524
319,Poltava Oblast,2019,Sunflower,13983.0,4941.0,2.8299939283545843
320,Lviv Oblast,2019,Soybean,12288.0,7040.0,1.7454545454545454
321,Kharkiv Oblast,2021,Potatoes,19751.0,5571.0,3.545323999281996
322,Poltava Oblast,2022,Barley,12621.0,4184.0,3.016491395793499
323,Dnipropetrovsk Oblast,2018,Sunflower,14622.0,6694.0,1.8555422766656708
324,Kyiv Oblast,2022,Wheat,12211.0,6270.0,1.9475279106858052
325,Poltava Oblast,2020,Potatoes,10865.0,3879.0,2.8009796339262696
326,Vinnytsia Oblast,2021,Wheat,12911.0,5376.0,2.401599702380953
327,Cherkasy Oblast,2020,Soybean,15920.0,7141.0,2.229379638706064
328,Dnipropetrovsk Oblast,2020,Corn,14622.0,9410.0,0.9482465462274176
329,Zhytomyr Oblast,2020,Potatoes,5657.0,6700.0,0.8443283582089552
330,Zhytomyr Oblast,2018,Corn,4924.0,3438.0,1.4322280395578826
331,Lviv Oblast,2019,Corn,27778.02,3451.0,4.115328890176761
