,Region,Year,CropType,Production_Tonnes,Area_Hectares,Yield_Tonnes_per_Hectare
332,Poltava Oblast,2021,Corn,13520.0,5015.0,2.203030796806257
333,Kharkiv Oblast,2018,Potatoes,20421.0,5015.0,5.336033446563889
334,Kyiv Oblast,2022,Wheat,8205.0,5582.0,1.4699032604801143
335,Dnipropetrovsk Oblast,2019,Barley,24707.0,4122.0,5.993934983017953
336,Kharkiv Oblast,2019,Sunflower,15031.0,7555.0,1.989543348775645
337,Cherkasy Oblast,2020,Rye,11914.0,4958.0,2.4029850746268657
338,Kyiv Oblast,2022,Barley,13730.0,7298.0,1.8813373526993695
339,Vinnytsia Oblast,2018,Barley,18013.0,4788.0,3.7621136173767753
340,Odesa Oblast,2018,Potatoes,16264.0,7284.0,2.232839099395936
341,Lviv Oblast,2022,Sunflower,14225.0,7965.0,2.83268902184886
342,Zhytomyr Oblast,2018,Sunflower,14960.0,3624.0,4.1280353200883
343,Kyiv Oblast,2018,Rye,17874.0,5015.0,2.9529159094663804
344,Odesa Oblast,2019,Sunflower,8112.0,6095.0,1.330926989335521
345,Zhytomyr Oblast,2020,Wheat,10724.0,4579.0,2.341996069010701
346,Zhytomyr Oblast,2020,Wheat,11122.0,3696.0,3.009199134199134
347,Zhytomyr Oblast,2019,Rye,14556.0,8123.0,1.79194878739382
348,Odesa Oblast,2019,Rye,18691.0,5100.0,3.664901960784314
349,Poltava Oblast,2021,Wheat,21503.0,4328.0,4.968345656192237
350,Poltava Oblast,2018,Soybean,16831.0,6952.0,2.421029919447641
351,Kharkiv Oblast,2018,Wheat,8930.0,3779.0,2.3630590103201907
352,Kharkiv Oblast,2019,Sunflower,16339.0,6569.0,2.487288780636322
353,Odesa Oblast,2019,Soybean,15899.0,5234.0,3.0376385173863203
354,Dnipropetrovsk Oblast,2022,Wheat,10499.0,6461.0,2.83268902184886
355,Lviv Oblast,2022,Corn,11115.0,6712.0,1.655989272943981
356,Odesa Oblast,2019,Sunflower,18678.0,5338.0,2.83268902184886
357,Poltava Oblast,2020,Sunflower,16863.0,4202.0,4.013089005235602
358,Poltava Oblast,2018,Wheat,18303.0,6729.0,2.720017833259028
359,Zhytomyr Oblast,2018,Rye,9211.0,4915.0,2.83268902184886
360,Kyiv Oblast,2018,Wheat,5537.0,7063.0,0.7839444995044599
361,Vinnytsia Oblast,2020,Corn,14061.0,4447.0,3.16190690353047
362,Kyiv Oblast,2020,Soybean,14707.0,3498.0,4.20440251572327
363,Kharkiv Oblast,2020,Corn,14612.0,4847.0,2.83268902184886
364,Lviv Oblast,2021,Wheat,19960.0,6209.0,3.2146883556128203
365,Poltava Oblast,2022,Rye,17397.0,4427.0,3.929749265868534
366,Vinnytsia Oblast,2019,Corn,17899.0,3786.0,4.727680929741152
367,Odesa Oblast,2021,Wheat,14622.0,5581.0,2.4110374484859345
368,Odesa Oblast,2022,Wheat,16453.0,5015.0,2.405761076180728
369,Odesa Oblast,2020,Wheat,14622.0,4708.0,4.401231945624469
370,Dnipropetrovsk Oblast,2018,Barley,12000.0,5256.0,2.2831050228310503
371,Kharkiv Oblast,2020,Corn,16133.0,4490.0,3.5930957683741647
372,Kyiv Oblast,2021,Wheat,16228.0,5550.0,2.923963963963964
373,Odesa Oblast,2021,Corn,15383.0,5278.0,2.83268902184886
374,Poltava Oblast,2020,Potatoes,15007.0,5783.0,2.5950198858723845
375,Vinnytsia Oblast,2018,Barley,25997.0,5761.0,4.512584620725568
376,Dnipropetrovsk Oblast,2022,Potatoes,6808.0,3514.0,1.9373932840068295
377,Odesa Oblast,2021,Soybean,7812.0,6250.0,1.24992
378,Vinnytsia Oblast,2018,Barley,23114.0,5692.0,4.060787069571329
379,Zhytomyr Oblast,2021,Wheat,12419.0,3982.0,3.1187845303867405
380,Vinnytsia Oblast,2022,Potatoes,10205.0,5015.0,1.5427059712773998
381,Kyiv Oblast,2020,Potatoes,14074.0,6656.0,2.114483173076923
382,Kharkiv Oblast,2022,Rye,10394.0,6285.0,1.6537788385043757
383,Dnipropetrovsk Oblast,2021,Barley,9162.0,537.0,17.06145251396648
384,Dnipropetrovsk Oblast,2020,Sunflower,15328.0,7001.0,2.1894015140694187
385,Vinnytsia Oblast,2019,Corn,766.0,3780.0,0.2026455026455026
386,Cherkasy Oblast,2020,Rye,10700.0,3835.0,2.790091264667536
387,Lviv Oblast,2018,Potatoes,14622.0,5639.0,2.8168114913991844
388,Lviv Oblast,2019,Wheat,6173.0,3460.0,1.7841040462427746
389,Odesa Oblast,2021,Potatoes,22429.0,5359.0,4.1852957641351
390,Dnipropetrovsk Oblast,2022,Sunflower,24921.0,5963.0,4.179272178433674
391,Poltava Oblast,2021,Barley,10432.0,4514.0,2.311032343819229
392,Poltava Oblast,2020,Wheat,14622.0,7231.0,1.868482920757848
393,Odesa Oblast,2018,Soybean,17408.0,6681.0,2.6055979643765905
394,Lviv Oblast,2019,Wheat,14622.0,5897.0,2.1724605731728
395,Lviv Oblast,2020,Barley,27778.02,5341.0,0.9369032016476316
396,Vinnytsia Oblast,2022,Corn,13952.0,4801.0,2.906061237242241
397,Odesa Oblast,2019,Sunflower,18612.0,5109.0,3.642982971227246
398,Zhytomyr Oblast,2019,Barley,19960.0,4295.0,4.647264260768336
399,Cherkasy Oblast,2019,Wheat,15958.0,7352.0,2.1705658324265507
400,Poltava Oblast,2020,Wheat,18097.0,5015.0,2.687806327045893
401,Kyiv Oblast,2021,Barley,14829.0,5015.0,3.155106382978724
402,Odesa Oblast,2022,Sunflower,13552.0,3842.0,3.527329515877147
403,Lviv Oblast,2018,Potatoes,15025.0,3647.0,4.119824513298601
404,Kyiv Oblast,2022,Wheat,14622.0,5455.0,2.83268902184886
405,Zhytomyr Oblast,2018,Sunflower,17649.0,5240.0,3.3681297709923665
406,Cherkasy Oblast,2018,Corn,17195.0,5015.0,3.8067301306176655
407,Odesa Oblast,2020,Potatoes,16901.0,4796.0,3.523978315262719
408,Poltava Oblast,2020,Barley,8534.0,5022.0,2.83268902184886
409,Kyiv Oblast,2018,Rye,22838.0,2377.0,9.607909129154397
410,Dnipropetrovsk Oblast,2019,Rye,15971.0,5015.0,3.2660531697341515
411,Poltava Oblast,2019,Soybean,13496.0,6537.0,2.064555606547346
412,Cherkasy Oblast,2022,Sunflower,14622.0,5637.0,2.83268902184886
413,Odesa Oblast,2020,Barley,8012.0,6671.0,1.20101933743067
414,Cherkasy Oblast,2022,Sunflower,22719.0,5015.0,2.708835101943484
415,Cherkasy Oblast,2022,Rye,5920.0,4673.0,1.2668521292531565
416,Lviv Oblast,2019,Sunflower,6520.0,5959.0,1.0941433126363485
417,Zhytomyr Oblast,2022,Rye,27778.02,5950.0,5.019327731092437
418,Cherkasy Oblast,2021,Corn,16251.0,4913.0,3.3077549358843883
419,Vinnytsia Oblast,2021,Wheat,5683.0,4632.0,1.2268998272884284
420,Vinnytsia Oblast,2021,Soybean,17164.0,7728.0,2.221014492753623
421,Odesa Oblast,2019,Sunflower,9321.0,6525.0,1.4285057471264369
422,Poltava Oblast,2020,Rye,9806.0,6874.0,1.4265347686936285
423,Odesa Oblast,2020,Sunflower,17237.0,3963.0,4.349482715114812
424,Kharkiv Oblast,2020,Sunflower,15453.0,4800.0,3.219375
425,Kharkiv Oblast,2019,Soybean,15619.0,5303.0,2.9453139732227043
426,Zhytomyr Oblast,2019,Soybean,18648.0,5254.0,3.5492957746478875
427,Cherkasy Oblast,2018,Barley,11789.0,5404.0,2.1815321983715767
428,Lviv Oblast,2021,Potatoes,17381.0,6623.0,2.624339423222105
429,Kharkiv Oblast,2021,Rye,12104.0,4707.0,2.571489271298067
430,Kharkiv Oblast,2018,Rye,10930.0,4412.0,2.4773345421577515
431,Odesa Oblast,2021,Rye,6716.0,7948.0,0.8449924509310518
432,Dnipropetrovsk Oblast,2022,Barley,11929.0,5934.0,2.0102797438490057
433,Zhytomyr Oblast,2018,Corn,13053.0,3780.0,3.453174603174604
434,Kyiv Oblast,2021,Potatoes,10505.0,5015.0,1.856991338165105
435,Cherkasy Oblast,2018,Corn,15894.0,1699.0,9.354914655679812
436,Odesa Oblast,2019,Wheat,9677.0,3224.0,3.001550868486353
437,Cherkasy Oblast,2020,Sunflower,19451.0,4555.0,4.270252469813392
438,Odesa Oblast,2022,Potatoes,20912.0,4909.0,4.259930739458138
439,Lviv Oblast,2018,Corn,6241.0,5232.0,1.1928516819571866
440,Kharkiv Oblast,2022,Barley,9707.0,6301.0,1.5405491191874303
441,Odesa Oblast,2022,Barley,11546.0,5015.0,2.83268902184886
442,Kharkiv Oblast,2019,Potatoes,13223.0,4625.0,2.859027027027027
443,Kyiv Oblast,2018,Rye,5546.0,5784.0,0.9588520055325036
444,Cherkasy Oblast,2021,Rye,19895.0,5015.0,3.3252548888517466
445,Poltava Oblast,2018,Sunflower,18985.0,5015.0,3.923331266790659
446,Vinnytsia Oblast,2018,Barley,14622.0,4881.0,2.83268902184886
447,Cherkasy Oblast,2020,Rye,19680.0,2929.0,6.719016729259133
448,Kharkiv Oblast,2022,Potatoes,14541.0,4627.0,3.1426410200994166
449,Odesa Oblast,2022,Wheat,13449.0,4617.0,2.912930474333983
450,Poltava Oblast,2020,Corn,12811.0,6675.0,1.919250936329588
451,Dnipropetrovsk Oblast,2019,Soybean,10703.0,2454.0,4.361450692746536
452,Kharkiv Oblast,2021,Corn,16878.0,2498.0,6.756605284227382
453,Kharkiv Oblast,2019,Barley,11749.0,4443.0,2.6443844249381048
454,Poltava Oblast,2022,Wheat,14927.0,3713.0,4.020199299757609
455,Vinnytsia Oblast,2021,Sunflower,13909.0,2370.0,5.868776371308017
456,Kharkiv Oblast,2021,Rye,12847.0,5372.0,2.83268902184886
457,Kyiv Oblast,2019,Corn,15621.0,2818.0,5.543293115684883
458,Vinnytsia Oblast,2018,Wheat,8462.0,5015.0,3.215045592705167
459,Kyiv Oblast,2022,Sunflower,5017.0,3017.0,2.83268902184886
460,Lviv Oblast,2019,Wheat,5740.0,4586.0,1.251635412123855
461,Odesa Oblast,2018,Wheat,8483.0,5027.0,1.6874875671374576
462,Zhytomyr Oblast,2019,Corn,17984.0,2931.0,6.135789832821563
463,Kharkiv Oblast,2018,Barley,12662.0,6876.0,1.841477603257708
464,Kyiv Oblast,2022,Corn,8457.0,1752.0,4.827054794520548
465,Poltava Oblast,2022,Soybean,16729.0,3943.0,4.242708597514583
466,Odesa Oblast,2019,Wheat,12263.0,4975.0,2.4649246231155777
467,Kharkiv Oblast,2018,Soybean,14580.0,3162.0,4.611005692599621
468,Kyiv Oblast,2020,Soybean,5670.0,3918.0,1.447166921898928
469,Kharkiv Oblast,2022,Corn,19625.0,6131.0,2.83268902184886
470,Lviv Oblast,2020,Wheat,18023.0,3536.0,5.097002262443439
471,Odesa Oblast,2021,Wheat,11243.0,4563.0,2.4639491562568487
472,Poltava Oblast,2020,Barley,14622.0,5859.0,2.7907492746202425
473,Vinnytsia Oblast,2018,Sunflower,18297.0,5785.0,2.83268902184886
474,Lviv Oblast,2022,Wheat,13214.0,5784.0,2.284578146611341
475,Odesa Oblast,2022,Wheat,10711.0,5036.0,2.1268864177918982
476,Dnipropetrovsk Oblast,2018,Rye,14622.0,5673.0,1.624537281861449
477,Lviv Oblast,2022,Potatoes,5403.0,8231.0,0.6564208480136071
478,Dnipropetrovsk Oblast,2021,Potatoes,11962.0,3705.0,3.2286099865047238
479,Dnipropetrovsk Oblast,2018,Sunflower,8292.0,6913.0,1.1994792420078113
480,Odesa Oblast,2019,Sunflower,18677.0,7512.0,2.4862886048988284
481,Lviv Oblast,2021,Sunflower,20996.0,6404.0,3.278575890068707
482,Zhytomyr Oblast,2019,Corn,15445.0,5396.0,2.862305411415864
483,Odesa Oblast,2021,Potatoes,6802.0,3079.0,2.209158817797986
484,Zhytomyr Oblast,2020,Corn,12949.0,5399.0,2.398407112428228
485,Kharkiv Oblast,2020,Wheat,6286.0,5107.0,1.2308596044644606
486,Poltava Oblast,2019,Sunflower,2210.0,5522.0,0.4002173125679101
487,Lviv Oblast,2018,Corn,14774.0,4652.0,3.1758383490971624
488,Zhytomyr Oblast,2019,Sunflower,12011.0,5878.0,2.0433821027560395
489,Cherkasy Oblast,2020,Soybean,12786.0,3152.0,4.056472081218274
490,Kharkiv Oblast,2018,Barley,12266.0,2787.0,4.401148188015788
491,Lviv Oblast,2018,Barley,8221.0,7069.0,1.1629650587070306
492,Dnipropetrovsk Oblast,2020,Corn,13622.0,4122.0,3.3047064531780688
493,Kharkiv Oblast,2021,Potatoes,23819.0,6288.0,3.788008905852417
494,Kyiv Oblast,2018,Wheat,12024.0,5015.0,1.7182052014861389
495,Dnipropetrovsk Oblast,2021,Barley,5275.0,6134.0,0.8599608738180633
496,Lviv Oblast,2019,Potatoes,10875.0,4809.0,2.2613849033063005
497,Zhytomyr Oblast,2022,Sunflower,8670.0,3311.0,2.6185442464512234
498,Kyiv Oblast,2019,Barley,18673.0,5015.0,3.640670696042114
499,Kharkiv Oblast,2020,Rye,14622.0,5949.0,2.367288619936124
500,Cherkasy Oblast,2018,Corn,16160.0,4897.0,3.2999795793342863
501,Dnipropetrovsk Oblast,2021,Corn,14622.0,3636.0,2.805005500550055
502,Dnipropetrovsk Oblast,2019,Potatoes,17329.0,5224.0,3.31718989280245
503,Kharkiv Oblast,2019,Corn,10458.0,7226.0,1.447273733739275
504,Poltava Oblast,2019,Barley,13127.0,6081.0,2.1586910047689525
505,Kyiv Oblast,2019,Corn,8949.0,3381.0,2.6468500443655723
506,Cherkasy Oblast,2020,Wheat,9770.0,5191.0,1.882103640916972
507,Poltava Oblast,2020,Barley,10360.0,5165.0,2.005808325266215
508,Lviv Oblast,2019,Potatoes,16336.0,3837.0,4.257492832942403
509,Kyiv Oblast,2021,Barley,10982.0,6219.0,1.7658787586428686
510,Vinnytsia Oblast,2021,Rye,14622.0,2745.0,3.2641165755919856
511,Kyiv Oblast,2022,Rye,11670.0,6132.0,1.903131115459883
512,Dnipropetrovsk Oblast,2020,Soybean,21639.0,5861.0,3.692032076437468
513,Cherkasy Oblast,2019,Rye,15392.0,5410.0,2.845101663585952
514,Lviv Oblast,2020,Sunflower,13706.0,6152.0,2.227893368010403
515,Poltava Oblast,2018,Wheat,22957.0,6238.0,3.680185957037512
516,Cherkasy Oblast,2019,Sunflower,18726.0,5227.0,3.582552133154773
517,Kyiv Oblast,2020,Soybean,17226.0,3935.0,4.377636594663279
518,Cherkasy Oblast,2022,Wheat,15221.0,3315.0,4.591553544494721
519,Cherkasy Oblast,2021,Potatoes,16582.0,5507.0,3.011076811331033
520,Lviv Oblast,2021,Barley,12161.0,4344.0,2.799493554327809
521,Zhytomyr Oblast,2022,Rye,6204.0,2372.0,2.615514333895447
522,Cherkasy Oblast,2022,Sunflower,8454.0,4897.0,1.7263630794363896
523,Kharkiv Oblast,2018,Sunflower,14877.0,5716.0,2.602694191742477
524,Kyiv Oblast,2021,Corn,14622.0,5430.0,3.244014732965009
525,Odesa Oblast,2019,Potatoes,19553.0,6894.0,2.8362344067304903
526,Lviv Oblast,2018,Wheat,18387.0,7131.0,2.5784602440050484
527,Dnipropetrovsk Oblast,2019,Corn,19880.0,5551.0,3.581336696090794
528,Zhytomyr Oblast,2018,Corn,16642.0,5371.0,3.098491900949544
529,Dnipropetrovsk Oblast,2019,Barley,14543.0,6409.0,2.269152753939772
530,Kyiv Oblast,2019,Wheat,17672.0,3687.0,4.793056685652292
531,Dnipropetrovsk Oblast,2022,Rye,14622.0,2895.0,3.843523316062176
532,Kharkiv Oblast,2021,Sunflower,17374.0,6123.0,2.837497958517067
533,Cherkasy Oblast,2018,Wheat,15330.0,6468.0,2.3701298701298703
534,Dnipropetrovsk Oblast,2019,Sunflower,9435.0,3867.0,2.439875872769589
535,Dnipropetrovsk Oblast,2020,Sunflower,19028.0,4288.0,4.4375
536,Dnipropetrovsk Oblast,2019,Potatoes,10952.0,4412.0,2.4823209428830464
537,Kyiv Oblast,2019,Soybean,16894.0,7590.0,2.2258234519104083
538,Lviv Oblast,2022,Soybean,8720.0,3753.0,2.323474553690381
539,Vinnytsia Oblast,2022,Potatoes,14879.0,5005.0,2.9728271728271727
540,Kyiv Oblast,2022,Potatoes,17880.0,4548.0,3.931398416886544
541,Zhytomyr Oblast,2022,Wheat,18499.0,7030.0,2.6314366998577525
542,Kyiv Oblast,2019,Rye,14638.0,6245.0,2.343955164131305
543,Cherkasy Oblast,2019,Potatoes,11817.0,8659.0,1.3647072410209031
544,Vinnytsia Oblast,2018,Soybean,19061.0,4133.0,4.611904185821437
545,Poltava Oblast,2020,Corn,14622.0,8182.0,1.5900757760938646
546,Kyiv Oblast,2019,Wheat,19374.0,5146.0,3.764865915273999
547,Kyiv Oblast,2022,Barley,17891.0,7358.0,2.4315031258494155
548,Kyiv Oblast,2021,Rye,7323.0,5900.0,1.241186440677966
549,Cherkasy Oblast,2022,Corn,12035.0,2891.0,2.83268902184886
550,Cherkasy Oblast,2022,Soybean,10940.0,2506.0,4.365522745411013
551,Kyiv Oblast,2018,Potatoes,14580.0,4282.0,3.404950957496497
552,Kharkiv Oblast,2018,Soybean,11929.0,5178.0,2.3037852452684437
553,Zhytomyr Oblast,2021,Soybean,14622.0,8561.0,1.7101974068449948
554,Cherkasy Oblast,2018,Soybean,5391.0,5913.0,2.83268902184886
555,Cherkasy Oblast,2020,Soybean,22013.0,4978.0,4.422057051024508
556,Lviv Oblast,2020,Wheat,14622.0,3441.0,7.952048823016565
557,Cherkasy Oblast,2019,Soybean,22923.0,5015.0,3.514180591752261
558,Odesa Oblast,2022,Corn,18891.0,8280.0,2.83268902184886
559,Cherkasy Oblast,2020,Rye,14116.0,2792.0,5.055873925501433
560,Vinnytsia Oblast,2019,Corn,17401.0,5883.0,2.95784463708992
561,Poltava Oblast,2019,Wheat,15215.0,6056.0,2.5123844121532364
562,Zhytomyr Oblast,2018,Sunflower,20000.0,7273.0,2.7498968788670424
563,Kharkiv Oblast,2020,Corn,10490.0,3431.0,3.0574176624890703
564,Zhytomyr Oblast,2021,Rye,17966.0,3799.0,4.729139247170308
565,Lviv Oblast,2019,Wheat,17275.0,6753.0,2.5581223160077005
566,Vinnytsia Oblast,2021,Sunflower,19650.0,4149.0,4.736080983369487
567,Vinnytsia Oblast,2021,Corn,12440.0,4970.0,2.5030181086519114
568,Vinnytsia Oblast,2022,Corn,12447.0,5015.0,3.15193719929096
569,Dnipropetrovsk Oblast,2020,Wheat,19746.0,6309.0,3.12981455064194
570,Dnipropetrovsk Oblast,2018,Corn,3817.0,3011.0,1.2676851544337429
571,Cherkasy Oblast,2020,Soybean,27777.0,2730.0,10.174725274725274
572,Cherkasy Oblast,2020,Potatoes,8852.0,4491.0,1.9710532175462037
573,Zhytomyr Oblast,2020,Soybean,11015.0,2151.0,2.83268902184886
574,Lviv Oblast,2021,Potatoes,24589.0,6857.0,3.5859705410529386
575,Kharkiv Oblast,2021,Sunflower,18154.0,8812.0,2.060145256468452
576,Cherkasy Oblast,2020,Wheat,11961.0,2681.0,4.461395001864976
577,Vinnytsia Oblast,2020,Soybean,9279.0,3915.0,2.370114942528736
578,Zhytomyr Oblast,2021,Soybean,6794.0,3465.0,1.960750360750361
579,Zhytomyr Oblast,2022,Potatoes,20316.0,2026.0,10.027640671273446
580,Zhytomyr Oblast,2021,Corn,13014.0,4979.0,2.6137778670415748
581,Odesa Oblast,2022,Barley,23129.0,6699.0,3.45260486639797
582,Kyiv Oblast,2018,Sunflower,10911.0,5528.0,2.83268902184886
583,Poltava Oblast,2018,Rye,11832.0,4725.0,2.504126984126984
584,Poltava Oblast,2019,Potatoes,7161.0,4995.0,2.83268902184886
585,Poltava Oblast,2018,Wheat,14622.0,6350.0,1.4869291338582675
586,Vinnytsia Oblast,2019,Soybean,12906.0,5096.0,2.532574568288854
587,Kharkiv Oblast,2021,Potatoes,20336.0,5503.0,2.83268902184886
588,Kyiv Oblast,2021,Wheat,18906.0,6670.0,2.83268902184886
589,Zhytomyr Oblast,2020,Barley,14622.0,5755.0,2.83268902184886
590,Zhytomyr Oblast,2018,Soybean,14109.0,4300.0,3.2811627906976746
591,Lviv Oblast,2020,Potatoes,14622.0,3286.0,2.785149117468046
592,Dnipropetrovsk Oblast,2020,Corn,8443.0,4217.0,2.002134218638843
593,Lviv Oblast,2020,Sunflower,14350.0,4537.0,3.1628829623098964
594,Kharkiv Oblast,2022,Soybean,11174.0,5493.0,2.0342253777535046
595,Odesa Oblast,2018,Potatoes,13925.0,3836.0,3.630083420229405
596,Odesa Oblast,2020,Sunflower,15374.0,8110.0,1.895684340320592
597,Vinnytsia Oblast,2018,Corn,19463.0,5793.0,3.3597445192473674
598,Odesa Oblast,2021,Barley,12925.0,6483.0,1.99367576739164
599,Lviv Oblast,2021,Wheat,14622.0,3480.0,3.4767241379310345
600,Poltava Oblast,2020,Sunflower,18340.0,4391.0,2.83268902184886
601,Vinnytsia Oblast,2020,Wheat,18401.0,7341.0,2.5066067293284293
602,Vinnytsia Oblast,2022,Soybean,26923.0,3711.0,7.254917811910536
603,Zhytomyr Oblast,2019,Barley,27778.02,5745.0,2.454308093994778
604,Kyiv Oblast,2020,Rye,17134.0,8096.0,2.1163537549407114
605,Kharkiv Oblast,2022,Soybean,14622.0,4945.0,4.993528816986856
606,Odesa Oblast,2021,Corn,13666.0,6742.0,2.0269949569860577
607,Poltava Oblast,2019,Rye,20424.0,1479.0,13.809330628803243
608,Odesa Oblast,2018,Wheat,11612.0,4188.0,2.772683858643744
609,Cherkasy Oblast,2021,Barley,7598.0,4360.0,1.7426605504587156
610,Odesa Oblast,2018,Wheat,15744.0,5751.0,2.7376108502869068
611,Vinnytsia Oblast,2021,Barley,3830.0,6159.0,0.6218541971099204
612,Zhytomyr Oblast,2019,Potatoes,19576.0,5859.0,3.341184502474825
613,Odesa Oblast,2018,Soybean,19969.0,4627.0,4.315755349038254
614,Lviv Oblast,2020,Potatoes,10046.0,4534.0,2.21570357300397
615,Kyiv Oblast,2019,Rye,15094.0,3672.0,4.110566448801743
616,Zhytomyr Oblast,2020,Barley,14622.0,4748.0,3.9050126368997473
617,Kharkiv Oblast,2020,Wheat,8643.0,5912.0,1.4619418132611637
618,Cherkasy Oblast,2020,Corn,20147.0,4538.0,4.439620978404584
619,Lviv Oblast,2020,Barley,16394.0,5015.0,3.665921288014311
620,Vinnytsia Oblast,2019,Corn,18352.0,4939.0,3.715731929540393
621,Kharkiv Oblast,2020,Potatoes,13937.0,6551.0,2.127461456266219
622,Vinnytsia Oblast,2018,Wheat,15960.0,3444.0,4.634146341463414
623,Vinnytsia Oblast,2019,Barley,11758.0,4683.0,2.510783685671578
624,Kharkiv Oblast,2020,Soybean,7551.0,5448.0,1.3860132158590308
625,Cherkasy Oblast,2021,Rye,10690.0,6195.0,1.725585149313963
626,Lviv Oblast,2019,Sunflower,13297.0,3890.0,3.418251928020565
627,Lviv Oblast,2020,Soybean,9394.0,4941.0,1.9012345679012344
628,Vinnytsia Oblast,2021,Potatoes,6822.0,5976.0,1.141566265060241
629,Poltava Oblast,2020,Sunflower,15641.0,4060.0,3.852463054187192
630,Odesa Oblast,2022,Corn,17494.0,4053.0,4.316308906982482
631,Kharkiv Oblast,2022,Corn,16010.0,4253.0,3.764401598871385
632,Cherkasy Oblast,2018,Barley,11332.0,3019.0,3.7535607817158
633,Poltava Oblast,2019,Wheat,10991.0,6479.0,1.6964037660132736
634,Cherkasy Oblast,2019,Rye,14132.0,5015.0,2.279722535892886
635,Zhytomyr Oblast,2022,Sunflower,14753.0,5393.0,2.735583163359911
636,Cherkasy Oblast,2020,Barley,14622.0,5066.0,2.600276352151599
637,Lviv Oblast,2021,Corn,22672.0,6392.0,3.546933667083855
638,Odesa Oblast,2018,Corn,13756.0,4395.0,2.83268902184886
639,Odesa Oblast,2018,Potatoes,14964.0,10203.0,1.4666274625110265
640,Zhytomyr Oblast,2021,Corn,18409.0,5947.0,3.095510341348579
641,Kharkiv Oblast,2018,Potatoes,10062.0,5015.0,1.6318520921180668
642,Poltava Oblast,2018,Rye,17737.0,4524.0,3.9206454465075153
643,Dnipropetrovsk Oblast,2021,Corn,14622.0,5578.0,2.415740408748656
644,Cherkasy Oblast,2019,Rye,18144.0,2663.0,6.8133683815245965
645,Vinnytsia Oblast,2020,Corn,24182.0,6350.0,3.8081889763779526
646,Kyiv Oblast,2021,Soybean,14622.0,3467.0,5.97086818575137
647,Lviv Oblast,2019,Wheat,9769.0,5956.0,1.6401947615849564
648,Cherkasy Oblast,2018,Potatoes,15186.0,5293.0,2.869072359720385
649,Lviv Oblast,2018,Wheat,17910.0,3862.0,4.637493526670119
650,Lviv Oblast,2018,Soybean,27778.02,5077.0,6.025014772503447
651,Vinnytsia Oblast,2019,Wheat,11966.0,5467.0,2.188768977501372
652,Vinnytsia Oblast,2018,Rye,14622.0,2833.0,2.8810448288033887
653,Vinnytsia Oblast,2021,Soybean,21037.0,5399.0,2.83268902184886
654,Vinnytsia Oblast,2018,Wheat,14622.0,2343.0,6.955612462654716
655,Kyiv Oblast,2020,Potatoes,15578.0,3424.0,4.54964953271028
656,Lviv Oblast,2022,Rye,15137.0,3827.0,3.955317481055657
657,Kharkiv Oblast,2020,Barley,10700.0,6751.0,1.584950377721819
658,Kyiv Oblast,2020,Soybean,16690.0,6224.0,2.681555269922879
659,Lviv Oblast,2020,Potatoes,17627.0,4510.0,3.9084257206208415
660,Kharkiv Oblast,2020,Sunflower,19979.0,4553.0,4.388095761036679
661,Cherkasy Oblast,2021,Wheat,13482.0,3675.0,3.6685714285714286
662,Kyiv Oblast,2022,Soybean,12170.0,4643.0,2.621150118457894
663,Cherkasy Oblast,2019,Barley,19437.0,1950.0,9.967692307692309
664,Kharkiv Oblast,2018,Rye,10248.0,3286.0,3.118685331710286
665,Dnipropetrovsk Oblast,2020,Rye,19421.0,4988.0,3.89354450681636
666,Kharkiv Oblast,2020,Corn,12597.0,5989.0,2.103356152947069
